accession,average_molecular_weight,origin,state,carcinogenicity,kingdom,super_class,taxonomy_class,sub_class,targets_id,pred_polar_surface_area_ChemAxon,pred_formal_charge_ChemAxon,pred_acceptor_count_ChemAxon,pred_physiological_charge_ChemAxon,pred_polarizability_ChemAxon,pred_rotatable_bond_count_ChemAxon,pred_refractivity_ChemAxon,pred_donor_count_ChemAxon,Acidity,logP,solubility,Inhalation(ROE),Dermal(ROE),Ingestion(ROE),Injection(ROE),cellular_locations_Lysosome,cellular_locations_Endosome,cellular_locations_Centrosome,cellular_locations_Mitochondria,cellular_locations_Actin Filament,cellular_locations_Synaptic Vesicle,cellular_locations_Late endosome,cellular_locations_Endoplasmic reticulum membrane,cellular_locations_Cell junction,cellular_locations_Secretory Granule,cellular_locations_Nuclear Membrane,cellular_locations_Zymogen Granule,cellular_locations_Cytoplasm,cellular_locations_Microsome,cellular_locations_Membrane,cellular_locations_Cell surface,cellular_locations_Plasma Membrane,cellular_locations_Actin Cytoskeleton,cellular_locations_Nucleus,cellular_locations_Nerve Fiber,cellular_locations_Golgi apparatus,cellular_locations_Mitochondrial Matrix,cellular_locations_Microtubule,cellular_locations_Mitochondrion,cellular_locations_Soluble Fraction,cellular_locations_Nucleoplasm,cellular_locations_Nuclear Matrix,cellular_locations_Tubulin,cellular_locations_Membrane Fraction,cellular_locations_Mitochondrial Membrane,cellular_locations_Mitochondrial Intermembrane Space,cellular_locations_Perinuclear region,cellular_locations_Acrosome,cellular_locations_Extracellular,cellular_locations_Endocytic Vesicle,cellular_locations_Focal adhesion,cellular_locations_Ribosome,cellular_locations_Nucleolus,cellular_locations_Cytosol,cellular_locations_Apical Membrane,cellular_locations_Cell membrane,cellular_locations_Caveolae,cellular_locations_Intermediate Filament,cellular_locations_Cytoskeleton,cellular_locations_Sarcoplasmic Reticulum,cellular_locations_Kinetochore,cellular_locations_Endoplasmic reticulum,cellular_locations_Secretory vesicle,cellular_locations_Peroxisome,cellular_locations_Extracellular matrix,cellular_locations_Early endosome,cellular_locations_Basolateral Membrane,categories_Bacterial Toxin,categories_Synthetic Toxin,categories_Animal Toxin,categories_Household Toxin,categories_Uremic Toxin,categories_Protein,categories_Drug,categories_Pesticide,categories_Polychlorinated Biphenyl,categories_Food Toxin,categories_Natural Toxin,categories_Industrial/Workplace Toxin,categories_Pollutant,categories_Cigarette Toxin,categories_Fungal Toxin,categories_Airborne Pollutant,categories_Plant Toxin
T3D4517,313.741,1,1,1,Organic compounds,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Aryl thiophosphates,"['BE0003536', 'BE0000956', 'BE0002638', 'BE0003549', 'BE0002362', 'BE0003541', 'BE0000920', 'BE0002793', 'BE0005490', 'BE0002433', 'BE0000368', 'BE0003543', 'BE0002180', 'BE0003721', 'BE0003781', 'BE0001598']",58.4,0,2,0,29.88,7,87.58,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4518,249.094,1,1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,N-phenylureas,"['BE0000132', 'BE0000956', 'BE0002433', 'BE0003543', 'BE0000886', 'BE0002638', 'BE0003549', 'BE0003541', 'BE0000736']",41.57,0,2,0,23.26,2,60.35,1,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4519,314.292,1,1,1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,"['BE0002180', 'BE0005805', 'BE0000368', 'BE0000717', 'BE0000895', 'BE0001047', 'BE0003549', 'BE0002638', 'BE0002433']",88.13,0,3,0,29.58,11,70.19,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
T3D4525,305.334,1,2,3,Organic compounds,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Pyrimidinyl phosphorothioates,"['BE0000956', 'BE0003536', 'BE0002433', 'BE0000934', 'BE0005480', 'BE0000920', 'BE0000704', 'BE0000717', 'BE0000886', 'BE0002362', 'BE0003549', 'BE0001074', 'BE0000058', 'BE0002638', 'BE0002793', 'BE0003541', 'BE0003721', 'BE0005497']",56.71,0,3,0,30.71,7,81.31,0,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
T3D4528,373.631,1,1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds,"['BE0002793', 'BE0002180', 'BE0000368', 'BE0005528', 'BE0000736', 'BE0002433', 'BE0005490', 'BE0000920', 'BE0000956', 'BE0000443', 'BE0000123', 'BE0000779', 'BE0003541', 'BE0003721', 'BE0002362', 'BE0002638', 'BE0003549', 'BE0003536']",35.53,0,1,0,32.37,7,80.82,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4530,256.128,1,1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,3-halobenzoic acids and derivatives,"['BE0001067', 'BE0003683', 'BE0000736', 'BE0002130', 'BE0003541', 'BE0000717', 'BE0002433', 'BE0003549', 'BE0001032', 'BE0002638']",29.1,0,1,0,25.48,2,66.28,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4538,238.352,1,1,1,Organic compounds,Organoheterocyclic compounds,Benzothiazoles,Benzothiazoles,"['BE0005497', 'BE0000956', 'BE0005460', 'BE0000368', 'BE0000984', 'BE0000704', 'BE0001114', 'BE0002363', 'BE0003611', 'BE0003336', 'BE0003549', 'BE0002433', 'BE0002887', 'BE0005459', 'BE0001047', 'BE0005464', 'BE0001074', 'BE0005480', 'BE0004734', 'BE0000961', 'BE0001160', 'BE0000058', 'BE0001159', 'BE0001178', 'BE0001088', 'BE0000717', 'BE0003536', 'BE0003683', 'BE0005481', 'BE0002461', 'BE0002362', 'BE0000062']",36.68,0,2,0,24.32,3,62.58,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4540,252.723,1,1,1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,2-halopyridines,"['BE0003963', 'BE0000738', 'BE0005459', 'BE0001047', 'BE0002638']",52.28,0,4,0,24.48,2,67.05,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4541,220.251,1,1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,N-phenylureas,"['BE0005543', 'BE0000895', 'BE0002433', 'BE0003543', 'BE0001004', 'BE0004688', 'BE0003549', 'BE0003541', 'BE0001067', 'BE0002638', 'BE0003721']",70.4,0,5,1,21.27,2,60.27,2,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4546,408.3711,1,1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Trifluoromethylbenzenes,"['BE0000736', 'BE0003611', 'BE0000123', 'BE0001777', 'BE0005459', 'BE0001047', 'BE0002130', 'BE0001074', 'BE0005460', 'BE0005480', 'BE0000961', 'BE0000058', 'BE0001196', 'BE0005458', 'BE0000934', 'BE0000767', 'BE0004734', 'BE0000920', 'BE0000240', 'BE0000368', 'BE0001178', 'BE0000704', 'BE0000717', 'BE0001114', 'BE0003549', 'BE0003380', 'BE0002090']",69.48,0,5,0,38.28,9,100.62,0,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
